18	1.68	80
18	1.94	60
18	1.7	80
18	1.76	66
19	1.73	87.5
18	1.66	58
21	1.8	92
18	1.6	57
18	1.67	64
18	1.73	57
17	1.73	75
18	1.61	59
18	1.69	90
17	1.71	67
19	1.78	60
22	1.68	72
18	1.7	73
19	1.64	86
18	1.64	75
20	1.8	95
17	1.75	60
18	1.78	75
18	1.75	65
17	1.69	60
19	1.78	73
18	1.7	63
34	1.75	78
18	1.64	64
19	1.75	50
18	1.67	61
18	1.7	70
20	1.8	60
18	1.63	57
23	1.89	110
18	1.71	71
18	1.65	65
17	1.72	67
19	1.65	58
18	1.75	90
18	1.7	64
19	1.81	70
19	1.65	43
28	1.52	50
19	1.79	78
26	1.79	82
19	1.75	61
19	1.8	70
20	1.75	70
20	1.73	70
19	1.7	50
22	1.78	72
19	1.77	55
18	1.53	58
28	1.54	50
20	1.83	70
44	1.85	90
18	1.6	51
